clause_id,section_id,parent_clause_id,label,level,text,source_document
s24(1),s24,,(1),subsection,"A data controller or data processor may designate or appoint a data protection officer on such terms and conditions as the data controller or data processor may determine, where-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(1)(a),s24,s24(1),(a),paragraph,"the processing is carried out by a public body or private body, except for courts acting in their judicial capacity;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(1)(b),s24,s24(1),(b),paragraph,"the core activities of the data controller or data processor consist of processing operations which, by virtue of their nature, their scope or their purposes, require regular and systematic monitoring of data subjects; or",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(1)(c),s24,s24(1),(c),paragraph,the core activities of the data controller or the data processor consist of processing of sensitive categories of personal data.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(2),s24,,(2),subsection,A data protection officer may be a staff member of the data controller or data processor and may fulfil other tasks and duties provided that any such tasks and duties do not result in a conflict of interest.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(3),s24,,(3),subsection,A group of entities may appoint a single data protection officer provided that such officer is accessible by each entity.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(4),s24,,(4),subsection,"Where a data controller or a data processor is a public body, a single data protection officer may be designated for several such public bodies, taking into account their organisational structures.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(5),s24,,(5),subsection,"A person may be designated or appointed as a data protection officer, if that person has relevant academic or professional qualifications which may include knowledge and technical skills in matters relating to data protection.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(6),s24,,(6),subsection,A data controller or data processor shall publish the contact details of the data protection officer on the website and communicate them to the Data Commissioner who shall ensure that the same information is available on the official website.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7),s24,,(7),subsection,A data protection officer shall-,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7)(a),s24,s24(7),(a),paragraph,advise the data controller or data processor and their employees on data processing requirements provided under this Act or any other written law;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7)(b),s24,s24(7),(b),paragraph,ensure on behalf of the data controller or data processor that this Act is complied with;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7)(c),s24,s24(7),(c),paragraph,facilitate capacity building of staff involved in data processing operations;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7)(d),s24,s24(7),(d),paragraph,provide advice on data protection impact assessment; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s24(7)(e),s24,s24(7),(e),paragraph,co-operate with the Data Commissioner and any other authority on matters relating to data protection.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(a),s25,,(a),paragraph,processed in accordance with the right to privacy of the data subject;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(b),s25,,(b),paragraph,"processed lawfully, fairly and in a transparent manner in relation to any data subject;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(c),s25,,(c),paragraph,"collected for explicit, specified and legitimate purposes and not further processed in a manner incompatible with those purposes;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(d),s25,,(d),paragraph,"adequate, relevant, limited to what is necessary in relation to the purposes for which it is processed;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(e),s25,,(e),paragraph,collected only where a valid explanation is provided whenever information relating to family or private affairs is required;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(f),s25,,(f),paragraph,"accurate and, where necessary, kept up to date, with every reasonable step being taken to ensure that any inaccurate personal data is erased or rectified without delay;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(g),s25,,(g),paragraph,kept in a form which identifies the data subjects for no longer than is necessary for the purposes which it was collected; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s25(h),s25,,(h),paragraph,"not transferred outside Kenya, unless there is proof of adequate data protection safeguards or consent from the data subject.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s26(a),s26,,(a),paragraph,to be informed of the use to which their personal data is to be put;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s26(b),s26,,(b),paragraph,to access their personal data in custody of data controller or data processor;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s26(c),s26,,(c),paragraph,to object to the processing of all or part of their personal data;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s26(d),s26,,(d),paragraph,to correction of false or misleading data; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s26(e),s26,,(e),paragraph,to deletion of false or misleading data about them.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s27(a),s27,,(a),paragraph,"where the data subject is a minor, by a person who has parental authority or by a guardian;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s27(b),s27,,(b),paragraph,"where the data subject has a mental or other disability, by a person duly authorised to act as their guardian or administrator; or",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s27(c),s27,,(c),paragraph,"in any other case, by a person duly authorised by the data subject.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(1),s28,,(1),subsection,A data controller or data processor shall collect personal data directly from the data subject.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(2),s28,,(2),subsection,"Despite sub-section (1), personal data may be collected indirectly where-",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(2)(a),s28,s28(2),(a),paragraph,the data is contained in a public record;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(2)(b),s28,s28(2),(b),paragraph,the data subject has deliberately made the data public;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(2)(c),s28,s28(2),(c),paragraph,the data subject has consented to the collection from another source;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s28(2)(d),s28,s28(2),(d),paragraph,"the data subject has an incapacity, the guardian appointed has consented to the collection from another source;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
