source_id,target_id,rel_type,next_label,source_document
sra_s7_q12_o5,sra_s7_q13,LEADS_TO,Q13,DTOP-OLD
sra_s7_q13_o1,sra_s7_q14,LEADS_TO,Q14,DTOP-OLD
sra_s7_q13_o2,sra_s7_q14,LEADS_TO,Q14,DTOP-OLD
sra_s7_q13_o3,sra_s7_q14,LEADS_TO,Q14,DTOP-OLD
sra_s7_q13_o4,sra_s7_q14,LEADS_TO,Q14,DTOP-OLD
sra_s7_q14_o1,sra_s7_q15,LEADS_TO,Q15,DTOP-OLD
sra_s7_q14_o2,sra_s7_q15,LEADS_TO,Q15,DTOP-OLD
sra_s7_q14_o3,sra_s7_q15,LEADS_TO,Q15,DTOP-OLD
sra_s7_q14_o4,sra_s7_q15,LEADS_TO,Q15,DTOP-OLD
sra_s7_q14_o5,sra_s7_q15,LEADS_TO,Q15,DTOP-OLD
sra_s7_q15_o1,sra_s7_q16,LEADS_TO,Q16,DTOP-OLD
sra_s7_q15_o2,sra_s7_q16,LEADS_TO,Q16,DTOP-OLD
sra_s7_q15_o3,sra_s7_q16,LEADS_TO,Q16,DTOP-OLD
sra_s7_q15_o4,sra_s7_q16,LEADS_TO,Q16,DTOP-OLD
sra_s7_q16_o1,sra_s7_q17,LEADS_TO,Q17,DTOP-OLD
sra_s7_q16_o2,sra_s7_q17,LEADS_TO,Q17,DTOP-OLD
sra_s7_q16_o3,sra_s7_q17,LEADS_TO,Q17,DTOP-OLD
sra_s7_q17_o1,sra_s7_q18,LEADS_TO,Q18,DTOP-OLD
sra_s7_q17_o2,sra_s7_q18,LEADS_TO,Q18,DTOP-OLD
sra_s7_q17_o3,sra_s7_q18,LEADS_TO,Q18,DTOP-OLD
sra_s7_q18_o1,sra_s7_q19,LEADS_TO,Q19,DTOP-OLD
sra_s7_q18_o2,sra_s7_q19,LEADS_TO,Q19,DTOP-OLD
sra_s7_q18_o3,sra_s7_q19,LEADS_TO,Q19,DTOP-OLD
sra_s7_q19_o1,sra_s7_q20,LEADS_TO,Q20,DTOP-OLD
