item_id,parent_id,parent_type,item_label,item_text,source_document
SA-21::b,SA-21,Control,b.,Satisfies the following additional personnel screening criteria: [Assignment: organization-defined additional personnel screening criteria].,NIST SP 800-53r5
SA-22::a,SA-22,Control,a.,"Replace system components when support for the components is no longer available from the developer, vendor, or manufacturer; or",NIST SP 800-53r5
SA-22::b,SA-22,Control,b.,Provide the following options for alternative sources for continued support for unsupported components [Selection (one or more): in-house support; [Assignment: organization-defined support from external providers]].,NIST SP 800-53r5
SC-1::a,SC-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST SP 800-53r5
SC-1::a.1,SC-1::a,ControlItem,1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] system and communications protection policy that:,NIST SP 800-53r5
SC-1::a.1.a,SC-1::a.1,ControlItem,(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST SP 800-53r5
SC-1::a.1.b,SC-1::a.1,ControlItem,(b),"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NIST SP 800-53r5
SC-1::a.2,SC-1::a,ControlItem,2.,Procedures to facilitate the implementation of the system and communications protection policy and the associated system and communications protection controls;,NIST SP 800-53r5
SC-1::b,SC-1,Control,b.,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the system and communications protection policy and procedures; and",NIST SP 800-53r5
SC-1::c,SC-1,Control,c.,Review and update the current system and communications protection:,NIST SP 800-53r5
SC-1::c.1,SC-1::c,ControlItem,1.,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NIST SP 800-53r5
