clause_id,label,level,citation,text,section_id,parent_id,parent_type,source_document
SEC-18-c,c.,1,Section 18(c),"Proportionality. The processing of information shall be adequate, relevant, suitable, necessary, and not excessive in relation to a declared and specified purpose. Personal data shall be processed only if the purpose of the processing could not reasonably be fulfilled by other means.",SEC-18,SEC-18,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-a,a.,1,Section 19(a),"Collection must be for a declared, specified, and legitimate purpose.",SEC-19,SEC-19,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-a-1,1.,2,Section 19(a)(1),"Consent is required prior to the collection and processing of personal data, subject to exemptions provided by the Act and other applicable laws and regulations. When consent is required, it must be time-bound in relation to the declared, specified and legitimate purpose. Consent given may be withdrawn.",SEC-19,SEC-19-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-a-2,2.,2,Section 19(a)(2),"The data subject must be provided specific information regarding the purpose and extent of processing, including, where applicable, the automated processing of his or her personal data for profiling, or processing for direct marketing, and data sharing.",SEC-19,SEC-19-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-a-3,3.,2,Section 19(a)(3),"Purpose should be determined and declared before, or as soon as reasonably practicable, after collection.",SEC-19,SEC-19-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-a-4,4.,2,Section 19(a)(4),"Only personal data that is necessary and compatible with declared, specified, and legitimate purpose shall be collected.",SEC-19,SEC-19-a,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-b,b.,1,Section 19(b),Personal data shall be processed fairly and lawfully.,SEC-19,SEC-19,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-b-1,1.,2,Section 19(b)(1),"Processing shall uphold the rights of the data subject, including the right to refuse, withdraw consent, or object. It shall likewise be transparent, and allow the data subject sufficient information to know the nature and extent of processing.",SEC-19,SEC-19-b,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-b-2,2.,2,Section 19(b)(2),Information provided to a data subject must always be in clear and plain language to ensure that they are easy to understand and access.,SEC-19,SEC-19-b,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-19-b-3,3.,2,Section 19(b)(3),"Processing must be in a manner compatible with declared, specified, and legitimate purpose.",SEC-19,SEC-19-b,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
